Model,Global_Spearman,Global_Cosine,Normalized_Global_Spearman,Normalized_Global_Cosine,Global_Stability_Component,Local_Spearman,Local_Cosine,Normalized_Local_Spearman,Normalized_Local_Cosine,Local_Stability_Component,IMSI,IMSI_Rank
RF,0.8902597402597403,0.9821603230413991,0.9451298701298702,0.9910801615206996,0.9681050158252849,0.6904632034632034,0.7984641608147851,0.8452316017316017,0.8992320804073926,0.8722318410694971,0.920168428447391,1
XGB,0.7637662337662338,0.9874251883675464,0.8818831168831169,0.9937125941837732,0.9377978555334451,0.5671961038961039,0.9137948093418381,0.7835980519480519,0.9568974046709191,0.8702477283094855,0.9040227919214653,2
MLP,0.6151948051948051,0.9420041021567218,0.8075974025974025,0.9710020510783609,0.8892997268378817,0.6581675324675325,0.824902350246129,0.8290837662337662,0.9124511751230645,0.8707674706784154,0.8800335987581485,3
LGBM,0.7516883116883117,0.9785161432838155,0.8758441558441559,0.9892580716419077,0.9325511137430318,0.46244848484848483,0.7347058525844308,0.7312242424242424,0.8673529262922154,0.7992885843582289,0.8659198490506304,4
