Model,Global_Stability_Component,Local_Stability_Component,IMSI,IMSI_Rank
RF,0.9681050158252849,0.8722318410694971,0.920168428447391,1
XGB,0.9377978555334451,0.8702477283094855,0.9040227919214653,2
MLP,0.8892997268378817,0.8707674706784154,0.8800335987581485,3
LGBM,0.9325511137430318,0.7992885843582289,0.8659198490506304,4
