model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
RF,0.7744865529883616,0.007866315129811926,0.49883348178035714,0.04114631136237615,0.20713006230529593,0.018255165552683653,0.9391635517083088,0.010166544457395798,0.2922178503231621,0.02146724169751677,0.2100424742912387,0.027140181716394454,0.6764072351202642,0.009993669894507342,0.4032929353419344,0.013321257464749494
XGB,0.7593303314386949,0.011928867874944973,0.43984598451118095,0.04372289775819143,0.24703076323987538,0.014038290265615708,0.9080208538264805,0.012259592395532622,0.31617295745101337,0.022059331764660337,0.19518771302906407,0.034423810283056716,0.6536947295354029,0.006620562916260282,0.38609126405070765,0.01656321267244147
LGBM,0.7770125735095101,0.006693400446195754,0.5102219373140083,0.033802972064888144,0.22332554517133957,0.01391946728363608,0.9377146042363433,0.005144993147580175,0.3106354573790596,0.01939070546487209,0.22572159762670108,0.025896564410021698,0.6701408890072768,0.0083359849953743,0.3974979109801559,0.021831346679864982
MLP,0.7859939469993357,0.007971723529788428,0.5807775573864985,0.0624966828556303,0.1871514797507788,0.015769769622114026,0.959806052855925,0.011236428626883328,0.2822006231694039,0.01900973704273031,0.23696231511500354,0.029264355235269116,0.6846968328856251,0.018139372943710094,0.4197706961657687,0.029723511808902935
