model,fold,TN,FP,FN,TP
RF,1,1048,57,252,69
RF,2,1045,60,250,70
RF,3,1020,85,248,72
RF,4,1033,71,258,63
RF,5,1041,63,263,58
XGB,1,1014,91,235,86
XGB,2,1008,97,243,77
XGB,3,989,116,242,78
XGB,4,988,116,247,74
XGB,5,1016,88,240,81
LGBM,1,1041,64,242,79
LGBM,2,1036,69,250,70
LGBM,3,1034,71,250,70
LGBM,4,1027,77,254,67
LGBM,5,1041,63,249,72
MLP,1,1073,32,263,58
MLP,2,1056,49,257,63
MLP,3,1043,62,262,58
MLP,4,1058,46,254,67
MLP,5,1071,33,267,54
