SHAP_Observation,Original_Test_Index,Local_Spearman,Local_Cosine
0,23,0.5874125874125874,0.9581050205376519
1,29,0.8461538461538463,0.9478236734833385
2,30,0.8601398601398602,0.831305240372901
3,32,0.5734265734265735,0.8604381094506962
4,44,0.9300699300699302,0.9334430627138385
5,49,0.9300699300699302,0.9065789015488632
6,51,0.5944055944055945,0.9143409558989501
7,59,0.7202797202797203,0.954050716557123
8,65,0.8601398601398602,0.972093216287895
9,67,0.8811188811188813,0.9614145844424979
10,69,0.6013986013986015,0.6875022103543216
11,70,0.9720279720279721,0.9599565562501855
12,71,0.9230769230769231,0.8800705221529147
13,73,0.8881118881118882,0.9699020343689537
14,76,0.9860139860139862,0.8782525004548976
15,78,0.6223776223776225,0.9633463802515626
16,99,0.8741258741258742,0.8816086010378248
17,109,0.8881118881118882,0.885136520086069
18,111,0.965034965034965,0.9055884560756217
19,115,0.7412587412587414,0.9665364130644852
20,123,0.9230769230769231,0.9831926169145536
21,124,0.8741258741258742,0.9587518801961629
22,135,0.7832167832167832,0.9630176018737824
23,162,0.7482517482517484,0.8367215439499811
24,168,0.9440559440559443,0.9241559891754384
25,173,0.6083916083916086,0.8115994803071512
26,185,0.965034965034965,0.978790725777299
27,188,0.8041958041958043,0.9408636302334434
28,196,0.7272727272727274,0.919197050388495
29,203,0.8601398601398602,0.7941622876476135
30,210,0.9090909090909092,0.955831001619517
31,212,0.9160839160839163,0.9347875693479553
32,220,0.8951048951048951,0.9273154113312014
33,233,0.7692307692307694,0.8757856675266743
34,237,0.965034965034965,0.9510996897880412
35,239,0.8041958041958043,0.8970391350228333
36,240,0.8461538461538463,0.9653465193742137
37,247,0.9440559440559443,0.9268616955427555
38,251,0.9440559440559443,0.9624920352919425
39,254,0.8811188811188813,0.7748694081573568
40,259,0.9510489510489512,0.9149428231347814
41,261,0.9790209790209792,0.9529775820163459
42,270,0.8881118881118882,0.9874632407267745
43,275,0.9580419580419581,0.9139476341331807
44,289,0.8251748251748254,0.9658609690312119
45,297,0.9440559440559443,0.8629287340184291
46,298,0.9580419580419581,0.9755025982642086
47,303,0.7692307692307694,0.93597619806221
48,305,0.9160839160839163,0.9278348746345668
49,316,0.8951048951048951,0.9647634778234733
50,322,0.965034965034965,0.9290179102329534
51,324,0.9720279720279721,0.988511342574936
52,331,0.8321678321678322,0.9720011566573709
53,332,0.9440559440559443,0.9358269446929175
54,339,0.8671328671328673,0.9015942541497217
55,342,0.965034965034965,0.9918227208996218
56,344,0.7762237762237763,0.9125093243813666
57,350,0.9090909090909092,0.9524423306319129
58,351,0.9790209790209792,0.8477743389849962
59,352,0.9510489510489512,0.975001204486076
60,354,0.8881118881118882,0.85519031874523
61,365,0.9580419580419581,0.9650044842078864
62,366,0.8531468531468532,0.8553270703675657
63,371,0.5034965034965035,0.9545183240199282
64,374,0.8391608391608393,0.8828309681043489
65,382,0.8251748251748254,0.9711896158370987
66,383,0.9510489510489512,0.9742850944885985
67,394,0.8741258741258742,0.9701365582568391
68,398,0.5174825174825175,0.8980153077659938
69,411,0.9370629370629372,0.9286052324250165
70,413,0.7552447552447553,0.8542957602593443
71,415,0.8951048951048951,0.8855124480744914
72,416,0.7412587412587414,0.9511372270181279
73,422,0.5384615384615385,0.5650213815726538
74,426,0.8111888111888113,0.8341419822854893
75,429,0.9230769230769231,0.9394301197394671
76,432,0.8321678321678322,0.9373108575229521
77,439,0.9440559440559443,0.994022655230908
78,450,0.8111888111888113,0.9651108311324856
79,453,0.8321678321678322,0.9221038933366706
80,462,0.8461538461538463,0.8681066710030891
81,464,0.8951048951048951,0.952949454506584
82,471,0.9160839160839163,0.8605587766845969
83,479,0.8601398601398602,0.9412571682533905
84,481,0.9020979020979022,0.7979700478205268
85,482,0.8811188811188813,0.9073146085172172
86,483,0.9370629370629372,0.83953633554625
87,485,0.8391608391608393,0.8802498253099444
88,495,0.8881118881118882,0.9795737961534189
89,506,0.8671328671328673,0.9166623394368452
90,514,0.7552447552447553,0.7765085678770699
91,518,0.7202797202797203,0.8317767229410197
92,526,0.9300699300699302,0.976652263037137
93,527,0.9020979020979022,0.9207671604508562
94,530,0.7552447552447553,0.7160405863657975
95,534,0.9300699300699302,0.9088850564832256
96,535,0.8461538461538463,0.8804438958047438
97,544,0.8881118881118882,0.901268621910875
98,548,0.8391608391608393,0.856560517699887
99,561,0.9510489510489512,0.9748333097511005
100,567,0.8881118881118882,0.7020344590856611
101,576,0.8671328671328673,0.9896036684298284
102,582,0.8251748251748254,0.9280718349054986
103,583,0.6573426573426573,0.9335451311388109
104,584,0.7552447552447553,0.5282779244227227
105,585,0.9440559440559443,0.9318542279821986
106,588,0.8881118881118882,0.9545975607158733
107,590,0.8881118881118882,0.9693080983556671
108,593,0.9020979020979022,0.982042842959543
109,596,0.8391608391608393,0.7487366561495256
110,602,0.7412587412587414,0.763999922497259
