model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
LGBM,0.7712589749267981,0.009118241108608025,0.4861687605864343,0.034009207854178894,0.28945288161993765,0.02307660046826192,0.911098104793757,0.008391105688100992,0.362657178607681,0.025838667079199046,0.24588797331006237,0.0313161397467152,0.6803774096876584,0.0035959515325428727,0.41642315210592074,0.006131386131206942
MLP,0.6891665067296573,0.008446269520009174,0.3514467019931723,0.013548949210940351,0.45225856697819317,0.03408089866494329,0.7579169125844317,0.01352295387788142,0.39528913987508896,0.02009399678921849,0.19348536622609172,0.02385695962974153,0.6300329654423996,0.014842468395302802,0.38120356795123345,0.012368395403313262
RF,0.7537180679609261,0.013200743491107645,0.4428681665799596,0.030780176683090684,0.35807242990654203,0.022160414662752374,0.8685512164732113,0.016763692265601492,0.3955142364725094,0.021415176464048724,0.24555303380989563,0.029580572697813938,0.6832799996818135,0.009266030200507631,0.40406608005486044,0.011594745982354167
XGB,0.7555414482911346,0.009368354224186684,0.43668839593615616,0.030020208390785733,0.29879478193146414,0.022298013669517558,0.8881044658666142,0.00725325575732742,0.35474655566794455,0.025076980001295192,0.2162570290026015,0.030882696966718835,0.660765781357605,0.009620488333187639,0.3991023125092078,0.0166550383023958
