model,metric,no_smote_mean,no_smote_std,smote_mean,smote_std,difference_smote_minus_no_smote,percentage_change,better_method
RF,accuracy,0.7744865529883616,0.007866315129811922,0.7537180679609261,0.013200743491107631,-0.020768485027435446,-2.6815811000591436,No-SMOTE
RF,precision,0.49883348178035714,0.04114631136237614,0.4428681665799596,0.030780176683090674,-0.05596531520039755,-11.219237930993534,No-SMOTE
RF,recall,0.2071300623052959,0.018255165552683646,0.35807242990654203,0.022160414662752384,0.15094236760124613,72.87323043372001,SMOTE
RF,specificity,0.9391635517083087,0.010166544457395696,0.8685512164732113,0.016763692265601482,-0.07061233523509736,-7.518640933909302,No-SMOTE
RF,f1,0.29221785032316205,0.02146724169751679,0.3955142364725094,0.021415176464048724,0.10329638614934733,35.349102060367784,SMOTE
RF,mcc,0.21004247429123865,0.027140181716394443,0.24555303380989563,0.029580572697813945,0.035510559518656976,16.906370789280974,SMOTE
RF,roc_auc,0.6764072351202642,0.009993669894507343,0.6832799996818135,0.009266030200507607,0.006872764561549283,1.0160690490437043,SMOTE
RF,pr_auc,0.4032929353419344,0.013321257464749504,0.40406608005486044,0.0115947459823542,0.0007731447129260549,0.19170797332974343,SMOTE
XGB,accuracy,0.759330331438695,0.01192886787494497,0.7555414482911346,0.009368354224186673,-0.003788883147560429,-0.4989769262057098,No-SMOTE
XGB,precision,0.43984598451118095,0.043722897758191416,0.43668839593615616,0.030020208390785723,-0.0031575885750247945,-0.7178850520902114,No-SMOTE
XGB,recall,0.24703076323987533,0.014038290265615696,0.29879478193146414,0.02229801366951755,0.05176401869158881,20.954482758620703,SMOTE
XGB,specificity,0.9080208538264805,0.012259592395532573,0.8881044658666143,0.0072532557573274075,-0.019916387959866166,-2.1933844223881795,No-SMOTE
XGB,f1,0.31617295745101337,0.022059331764660337,0.3547465556679445,0.025076980001295178,0.038573598216931126,12.200157321458327,SMOTE
XGB,mcc,0.19518771302906401,0.03442381028305673,0.21625702900260144,0.03088269696671884,0.021069315973537422,10.79438641222265,SMOTE
XGB,roc_auc,0.6536947295354029,0.0066205629162602656,0.660765781357605,0.009620488333187627,0.007071051822202135,1.0817054968804334,SMOTE
XGB,pr_auc,0.38609126405070765,0.016563212672441457,0.3991023125092078,0.016655038302395824,0.013011048458500152,3.3699411693478085,SMOTE
LGBM,accuracy,0.77701257350951,0.006693400446195775,0.7712589749267981,0.009118241108607976,-0.005753598582711961,-0.7404768955957624,No-SMOTE
LGBM,precision,0.5102219373140083,0.03380297206488814,0.48616876058643427,0.034009207854178936,-0.024053176727574066,-4.714257653090856,No-SMOTE
LGBM,recall,0.22332554517133954,0.013919467283636045,0.28945288161993765,0.02307660046826189,0.06612733644859811,29.610287707061893,SMOTE
LGBM,specificity,0.9377146042363433,0.0051449931475801335,0.911098104793757,0.008391105688101011,-0.026616499442586372,-2.838443522404382,No-SMOTE
LGBM,f1,0.3106354573790596,0.01939070546487208,0.362657178607681,0.025838667079199053,0.052021721228621365,16.746871612000408,SMOTE
LGBM,mcc,0.22572159762670108,0.025896564410021708,0.24588797331006235,0.03131613974671524,0.02016637568336127,8.93418082070838,SMOTE
LGBM,roc_auc,0.6701408890072766,0.008335984995374284,0.6803774096876584,0.0035959515325428683,0.010236520680381722,1.52751769788973,SMOTE
LGBM,pr_auc,0.3974979109801559,0.021831346679864992,0.4164231521059206,0.006131386131206956,0.018925241125764714,4.761091971300827,SMOTE
MLP,accuracy,0.7859939469993357,0.007971723529788416,0.6891665067296572,0.008446269520009144,-0.09682744026967849,-12.319107626634219,No-SMOTE
MLP,precision,0.5807775573864985,0.06249668285563034,0.35144670199317224,0.013548949210940327,-0.22933085539332626,-39.48686592252567,No-SMOTE
MLP,recall,0.18715147975077878,0.015769769622114044,0.45225856697819306,0.03408089866494331,0.2651070872274143,141.65374892063127,SMOTE
MLP,specificity,0.959806052855925,0.011236428626883357,0.7579169125844317,0.013522953877881433,-0.2018891402714933,-21.034368315428676,No-SMOTE
MLP,f1,0.2822006231694039,0.019009737042730315,0.39528913987508896,0.02009399678921852,0.11308851670568504,40.073801197029404,SMOTE
MLP,mcc,0.23696231511500354,0.029264355235269095,0.19348536622609164,0.023856959629741506,-0.043476948888911904,-18.347621590298647,No-SMOTE
MLP,roc_auc,0.6846968328856251,0.018139372943710097,0.6300329654423996,0.014842468395302774,-0.05466386744322549,-7.983660040144628,No-SMOTE
MLP,pr_auc,0.4197706961657687,0.02972351180890293,0.3812035679512334,0.012368395403313238,-0.038567128214535285,-9.187665686721736,No-SMOTE
