model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
LGBM,0.7757079182869937,0.004492173704642322,0.5046985570342108,0.022961414541084562,0.2145660847880299,0.005630834891712468,0.9385866154540399,0.0068930654504776425,0.30089378748866463,0.004233656336360158,0.6735504039699259,0.006782930870200689,0.3978223815439699,0.004446399930388821
MLP,0.7885042955602566,0.002883164571370428,0.5870096478801463,0.007121759445723296,0.202071072319202,0.03950707557078032,0.9587190546652813,0.008001783163335961,0.29892096909852095,0.04338327681130201,0.6967563078158167,0.01685758008861502,0.42947573320771576,0.011048751714542978
RF,0.7717775420938439,0.0030713354572311754,0.4821238543650108,0.01702395510934536,0.19958852867830423,0.020508265596586008,0.9378617678850654,0.005058644042439504,0.2819647722271437,0.022405102262212654,0.6769958733490864,0.005249974974039767,0.39098367559198177,0.006735211783016712
XGB,0.7633593404882942,0.007171539048902652,0.45423722778257636,0.025502980389802025,0.252001246882793,0.01170710233089465,0.9117902381177261,0.009193965170569186,0.3239291313593364,0.013049765701155527,0.6472113370288245,0.005601670524796017,0.3802490482727723,0.01630509793795957
