model,fold,TN,FP,FN,TP
RF,1,1302,79,323,78
RF,2,1292,89,313,88
RF,3,1287,94,312,89
RF,4,1303,78,330,70
RF,5,1291,89,326,75
XGB,1,1269,112,302,99
XGB,2,1239,142,296,105
XGB,3,1258,123,299,102
XGB,4,1271,110,295,105
XGB,5,1258,122,307,94
LGBM,1,1301,80,314,87
LGBM,2,1288,93,313,88
LGBM,3,1285,96,314,87
LGBM,4,1308,73,318,82
LGBM,5,1298,82,315,86
MLP,1,1327,54,324,77
MLP,2,1326,55,323,78
MLP,3,1309,72,296,105
MLP,4,1339,42,339,61
MLP,5,1318,62,317,84
