model,best_f1_mean,best_f1_std,best_mcc_mean,best_mcc_std,best_roc_auc_mean,best_roc_auc_std,best_pr_auc_mean,best_pr_auc_std,best_parameters
RF,0.430807540316103,0.015055142460106856,0.2654331131696537,0.02350328154899542,0.6952980915811036,0.010115886499898245,0.42661353160450455,0.02017213623827816,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300}"
XGB,0.4292066694676205,0.026814522090702453,0.24282654258969064,0.0388938702877518,0.6796082300044597,0.014727879986864888,0.4117967035569742,0.02270311648013297,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}"
LGBM,0.39379458793388583,0.02582972725727113,0.2680802021861425,0.027805733753189364,0.6895539296126665,0.012161154875054456,0.42328209862617117,0.023464696057755054,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__min_child_samples': 30, 'model__n_estimators': 200, 'model__num_leaves': 63}"
MLP,0.4203619429908865,0.025694544127792505,0.2281665712272912,0.03647505519941513,0.6573624953242427,0.016118322648761917,0.3990340207114649,0.028970015635409345,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (50,), 'model__learning_rate_init': 0.001}"
