Model_A,Model_B,Model_Pair,Global_Spearman,Global_Cosine,Number_of_Features,Local_Spearman_Mean,Local_Spearman_STD,Local_Spearman_Median,Local_Spearman_Min,Local_Spearman_Max,Local_Cosine_Mean,Local_Cosine_STD,Local_Cosine_Median,Local_Cosine_Min,Local_Cosine_Max,N_Observations,Wilcoxon_Spearman_Statistic,Wilcoxon_Spearman_Raw_P,Wilcoxon_Spearman_Holm_P,Significant_After_Holm
RF,XGB,RF-XGB,0.8740259740259739,0.8650797005175266,21,0.5884242424242424,0.1915369584704049,0.6116883116883116,-0.0558441558441558,0.9337662337662336,0.6837029558053168,0.2240579320589432,0.7597396336980093,-0.106343371875394,0.9546465906713636,300,3.0,6.265490483650024e-51,3.759294290190015e-50,True
XGB,LGBM,XGB-LGBM,0.8324675324675326,0.9110018681718948,21,0.4431645021645022,0.231424372162515,0.4506493506493507,-0.1987012987012987,0.8948051948051948,0.6358140675235584,0.3105437400652304,0.7162266908781054,-0.6638402427188225,0.9886971015509752,300,260.0,8.123352145203645e-50,4.061676072601823e-49,True
RF,LGBM,RF-LGBM,0.7571428571428571,0.8773661554835118,21,0.4573593073593073,0.2425330080444539,0.4889610389610389,-0.2857142857142857,0.8831168831168831,0.5910004838539239,0.2490777718458898,0.6466117089160084,-0.4074553512777903,0.9049549267106484,300,325.5,1.553377050276635e-49,6.21350820110654e-49,True
LGBM,MLP,LGBM-MLP,0.3415584415584415,0.8102743995510722,21,0.1078571428571428,0.2270206064916567,0.1376623376623376,-0.6545454545454545,0.5714285714285714,0.4424941887289407,0.3588588357557578,0.57456691693701,-0.7359023321428512,0.8749782376232081,300,10690.5,2.716493362813946e-15,2.716493362813946e-15,True
XGB,MLP,XGB-MLP,0.3324675324675324,0.6204691200359321,21,0.209095238095238,0.1994872771670567,0.2298701298701298,-0.7025974025974026,0.6298701298701298,0.3855577193660324,0.3266764350284419,0.5040242612987138,-0.5942907638930589,0.8553967171144248,300,3459.0,5.053951081619373e-37,1.516185324485812e-36,True
RF,MLP,RF-MLP,0.2597402597402597,0.7037077180290171,21,0.1861818181818182,0.185851709434872,0.1922077922077922,-0.335064935064935,0.7038961038961039,0.3261135594601163,0.2227025563126382,0.3321519346007354,-0.6347117003244228,0.7713979253268914,300,3685.5,5.4929590999438256e-36,1.0985918199887653e-35,True
