Model,CV_Rank,CV_F1_Mean,CV_F1_STD,CV_MCC_Mean,CV_MCC_STD,CV_ROC_AUC_Mean,CV_ROC_AUC_STD,CV_PR_AUC_Mean,CV_PR_AUC_STD,Selected_Training_Strategy,Test_Rank,Test_Accuracy,Test_Precision,Test_Recall,Test_Specificity,Test_F1,Test_MCC,Test_ROC_AUC,Test_PR_AUC,Test_TN,Test_FP,Test_FN,Test_TP
RF,1,0.430807540316103,0.0150551424601068,0.2654331131696537,0.0235032815489954,0.6952980915811036,0.0101158864998982,0.4266135316045045,0.0201721362382781,SMOTE,2,0.7480359147025814,0.4390862944162436,0.4314214463840399,0.8399710354815351,0.4352201257861635,0.2731014426291883,0.7073012616900904,0.420505542337071,1160,221,228,173
XGB,2,0.4292066694676205,0.0268145220907024,0.2428265425896906,0.0388938702877518,0.6796082300044597,0.0147278799868648,0.4117967035569742,0.0227031164801329,SMOTE,1,0.7255892255892256,0.4087136929460581,0.4912718204488778,0.7936278059377263,0.4462061155152887,0.2678340016364618,0.6939728881994868,0.4061102026248169,1096,285,204,197
MLP,3,0.4203619429908865,0.0256945441277925,0.2281665712272912,0.0364750551994151,0.6573624953242427,0.0161183226487619,0.3990340207114649,0.0289700156354093,SMOTE,3,0.7160493827160493,0.3851203501094092,0.4389027431421446,0.7965242577842143,0.4102564102564102,0.2251434188541618,0.6736381349305952,0.4047718162449588,1100,281,225,176
LGBM,4,0.3937945879338858,0.0258297272572711,0.2680802021861425,0.0278057337531893,0.6895539296126665,0.0121611548750544,0.4232820986261711,0.023464696057755,SMOTE,4,0.7626262626262627,0.4595588235294117,0.3117206982543641,0.8935553946415641,0.3714710252600297,0.2383606016368854,0.6878116078377552,0.4136357369950336,1234,147,276,125
