Overall_Rank,Model,F1_Mean,F1_STD,MCC_Mean,MCC_STD,ROC_AUC_Mean,ROC_AUC_STD,PR_AUC_Mean,PR_AUC_STD,Selected_Training_Strategy,Selection_Primary_Criterion,Selection_Secondary_Criterion,Test_Set_Used,Retraining_Performed,Final_Model_Selected
1,RF,0.430807540316103,0.0150551424601068,0.2654331131696537,0.0235032815489954,0.6952980915811036,0.0101158864998982,0.4266135316045045,0.0201721362382781,SMOTE,F1,MCC,False,False,True
2,XGB,0.4292066694676205,0.0268145220907024,0.2428265425896906,0.0388938702877518,0.6796082300044597,0.0147278799868648,0.4117967035569742,0.0227031164801329,SMOTE,F1,MCC,False,False,True
3,MLP,0.4203619429908865,0.0256945441277925,0.2281665712272912,0.0364750551994151,0.6573624953242427,0.0161183226487619,0.3990340207114649,0.0289700156354093,SMOTE,F1,MCC,False,False,True
4,LGBM,0.3937945879338858,0.0258297272572711,0.2680802021861425,0.0278057337531893,0.6895539296126665,0.0121611548750544,0.4232820986261711,0.023464696057755,SMOTE,F1,MCC,False,False,True
