Component,Observed_Value,Bootstrap_Mean,Bootstrap_SD,CI_Lower,CI_Upper,CI_Width
Global_Spearman,0.7831168831168832,0.7831168831168832,2.2206681271674807e-16,0.783116883116883,0.783116883116883,0.0
Global_Cosine,0.8989915801490795,0.8989915801490795,0.0,0.8989915801490795,0.8989915801490795,0.0
Local_Spearman,0.6660068542568544,0.6659124742424243,0.002488969810156942,0.6610073412698413,0.6707330717893218,0.009725730519480558
Local_Cosine,0.7553902478948241,0.7554278284981916,0.0033669490774813917,0.7488423006356709,0.7618954882421719,0.013053187606500982
