Model_Pair,Observed_Pairwise_CECI,Bootstrap_Mean,Bootstrap_SD,CI_Lower,CI_Upper,CI_Width,N_Global_Observations,N_Local_Observations,CECI_Rank
RF-XGB,0.8764041090966325,0.8763957857717658,0.0021207443317735,0.8721801059932575,0.8805103063549725,0.008330200361715057,1,300,1
XGB-LGBM,0.852805996290936,0.8528382415654738,0.0028138731280032453,0.8472607065312867,0.8582964813075457,0.011035774776258944,1,300,2
RF-LGBM,0.83535860047995,0.8353679669387537,0.0025006233152118067,0.8305542420639677,0.8402717047202108,0.009717462656243181,1,300,3
LGBM-MLP,0.7127730215869497,0.7127383380902701,0.003044258268467043,0.7067599324886227,0.7186883596963962,0.01192842720777354,1,300,4
XGB-MLP,0.6934487012455919,0.693492066139755,0.0027845198607393123,0.6878633002246926,0.6987799210261055,0.01091662080141298,1,300,5
RF-MLP,0.6844679194264014,0.6845124407882541,0.002082178740852259,0.6803830313238617,0.6884870954751887,0.008104064151327028,1,300,6
