Removed_Model_Pair,Remaining_Model_Pairs,Leave_One_Out_Global_CECI,Leave_One_Out_Local_CECI,Leave_One_Out_CECI,Difference_From_Full_CECI,Absolute_Difference
RF-XGB,5,0.8223097942324026,0.6892319013795289,0.7557708478059658,-0.020105543548444293,0.020105543548444293
RF-LGBM,5,0.8275396273282591,0.7004202717303454,0.7639799495293024,-0.01189644182510774,0.01189644182510774
RF-MLP,5,0.8610926790711136,0.7272234924089103,0.794158085740012,0.0182816943856019,0.0182816943856019
XGB-LGBM,5,0.8220916079276062,0.6988893328066039,0.760490470367105,-0.015385920987305068,0.015385920987305068
XGB-MLP,5,0.8616182453344043,0.7231056134179434,0.7923619293761739,0.01648553802176378,0.01648553802176378
LGBM-MLP,5,0.8516734359041018,0.7253206947117027,0.7884970653079024,0.012620673953492312,0.012620673953492312
