Metric,Observed_Value,Bootstrap_Mean,Bootstrap_SD,CI_Lower,CI_Upper,CI_Width
Overall CECI,0.7758763913544101,0.7758621915016447,0.0010547041241639125,0.7737881258803095,0.7778649311251796,0.004076805244870085
Global CECI,0.8410542316329813,0.8410542316329811,2.2206681271674807e-16,0.8410542316329813,0.8410542316329813,0.0
Local CECI,0.7106985510758391,0.710670151370308,0.002109408248327825,0.7065220201276379,0.7146756306173782,0.008153610489740282
