Model_A,Model_B,Global_Spearman,Global_Cosine,Number_of_Features
RF,XGB,0.8818181818181818,0.8659396665426811,21
RF,LGBM,0.7441558441558441,0.8831812623433186,21
RF,MLP,0.2025974025974026,0.7065964568979248,21
XGB,LGBM,0.8337662337662338,0.9146014194228327,21
XGB,MLP,0.28441558441558445,0.6212727071286978,21
LGBM,MLP,0.28051948051948056,0.8077159428389485,21
