Model_A,Model_B,Local_Spearman_Mean,Local_Spearman_STD,Local_Spearman_Median,Local_Spearman_Min,Local_Spearman_Max,Local_Cosine_Mean,Local_Cosine_STD,Local_Cosine_Median,Local_Cosine_Min,Local_Cosine_Max,N_Observations
LGBM,MLP,0.11268398268398268,0.213774820636008,0.12207792207792206,-0.574025974025974,0.6792207792207793,0.44392047726897343,0.3499714126825923,0.5603117071175034,-0.7353311701879209,0.8964953700827272,300
RF,LGBM,0.4535844155844156,0.24178706349847034,0.4818181818181818,-0.24805194805194808,0.8883116883116883,0.5889039390981285,0.2595683529714424,0.6539330792021616,-0.5796627595642904,0.9225754741502433,300
RF,MLP,0.1736233766233766,0.18375029295412232,0.1935064935064935,-0.3233766233766234,0.6623376623376622,0.33201553308461573,0.2213655402349271,0.3485610932820638,-0.49972864404561684,0.7678715041255069,300
RF,XGB,0.5828354978354978,0.19351751101463172,0.5902597402597403,0.01818181818181818,0.9376623376623376,0.6862281798347148,0.22432172151475954,0.7679617969886283,-0.07021277670571685,0.9693512652340085,300
XGB,LGBM,0.4487359307359307,0.23312208600250148,0.4707792207792208,-0.22857142857142856,0.877922077922078,0.6342841349385223,0.315633175739249,0.7247060161170282,-0.7066490767345195,0.9908904973410042,300
XGB,MLP,0.20194372294372295,0.1959206074819554,0.23506493506493503,-0.551948051948052,0.6623376623376622,0.38740154092169976,0.32792139963837696,0.4962926291763406,-0.5900915404380004,0.8635866297757371,300
