test_index,Model_A,Model_B,Local_Spearman_rho,Local_Spearman_p_value,Local_Cosine_similarity
316,RF,XGB,0.36233766233766235,0.10649069901450199,0.7649395217119312
316,RF,LGBM,0.44935064935064933,0.04099667350688651,0.6851332917156268
316,RF,MLP,0.20909090909090908,0.36302566515631635,0.07488829753117425
316,XGB,LGBM,0.7818181818181819,2.840326860518539e-05,0.8951679139150507
316,XGB,MLP,-0.1922077922077922,0.4038885272768977,-0.17128801318477468
316,LGBM,MLP,-0.05714285714285714,0.8056609740932286,-0.2668557273017432
322,RF,XGB,0.9025974025974025,2.1977492069540088e-08,0.7929668007930969
322,RF,LGBM,0.851948051948052,9.55713074466901e-07,0.783348590146429
322,RF,MLP,0.41298701298701296,0.0627844372189399,0.3123645325646988
322,XGB,LGBM,0.725974025974026,0.00019486894429420653,0.5457889653142579
322,XGB,MLP,0.45974025974025967,0.036008336368182216,0.16251370923288264
322,LGBM,MLP,0.4896103896103896,0.024270522021007424,0.3504105679204367
324,RF,XGB,0.774025974025974,3.835408895133142e-05,0.9189753047197265
324,RF,LGBM,0.8,1.3416326957422069e-05,0.8294047576600927
324,RF,MLP,0.04675324675324675,0.8405105142403159,-0.03352511284522707
324,XGB,LGBM,0.7233766233766233,0.00021075106965465283,0.8669275957493715
324,XGB,MLP,0.012987012987012986,0.9554439323134464,-0.18848655648114696
324,LGBM,MLP,-0.08831168831168833,0.7034559950013928,-0.3124029617440856
331,RF,XGB,0.8935064935064935,4.9461674793322137e-08,0.822627007711334
331,RF,LGBM,0.6623376623376622,0.0010706809556016226,0.7401213071342876
331,RF,MLP,0.3,0.18641143545847969,0.2732487979052288
331,XGB,LGBM,0.6428571428571428,0.0016715248867048204,0.7176190927535385
331,XGB,MLP,0.3675324675324675,0.10119902708769574,0.14808179702068008
331,LGBM,MLP,0.4207792207792207,0.05750513790191279,0.2743543787096833
332,RF,XGB,0.5766233766233767,0.006213392871018538,0.5446087596220638
332,RF,LGBM,0.42207792207792205,0.056659249673108106,0.6283856562904189
332,RF,MLP,0.212987012987013,0.35394640699014296,0.3444777510278107
332,XGB,LGBM,0.22857142857142856,0.31896739880565783,0.4796462550951407
332,XGB,MLP,0.2571428571428571,0.2604731897004084,0.4466089947225848
332,LGBM,MLP,0.12727272727272726,0.5824788611326692,0.5344696676276213
339,RF,XGB,0.9207792207792208,3.319405263338615e-09,0.8074404175611314
339,RF,LGBM,-0.059740259740259746,0.7970010758753313,0.289802730026651
339,RF,MLP,-0.1012987012987013,0.6621759840226068,0.12050471152764455
339,XGB,LGBM,-0.14025974025974028,0.5442470998307317,0.662089451870002
339,XGB,MLP,0.02727272727272727,0.9065844922540648,0.38340755491329076
339,LGBM,MLP,0.15584415584415584,0.49994447453114993,0.3103079849244993
342,RF,XGB,0.37142857142857144,0.09735837325949603,0.8187858810102985
342,RF,LGBM,0.2922077922077922,0.19867271696574043,0.6816732187742975
342,RF,MLP,0.34415584415584416,0.12659816458138168,0.4939104723733351
342,XGB,LGBM,0.5532467532467533,0.009281014982756764,0.4859946206178321
342,XGB,MLP,-0.016883116883116882,0.9420962008546323,0.3812118924224519
342,LGBM,MLP,-0.18571428571428572,0.4202513335237499,0.672105185226086
344,RF,XGB,0.5493506493506494,0.009895938735993823,0.6134104858079206
344,RF,LGBM,0.574025974025974,0.006506006572823369,0.7937965184538386
344,RF,MLP,0.29740259740259745,0.19043999754486568,0.6547662764448178
344,XGB,LGBM,0.41298701298701296,0.0627844372189399,0.6696132790093712
344,XGB,MLP,0.39090909090909093,0.07974355165372467,0.6805186689298897
344,LGBM,MLP,0.044155844155844164,0.8492705803407119,0.8302681733562902
350,RF,XGB,0.5220779220779221,0.015195754492505785,0.8773752613053014
350,RF,LGBM,0.3233766233766234,0.1527420375382629,0.2745923750268636
350,RF,MLP,0.36233766233766235,0.10649069901450199,0.6035004696728381
350,XGB,LGBM,0.2792207792207792,0.22028859486514027,0.41103871017093024
350,XGB,MLP,0.251948051948052,0.27056314022623557,0.6852425495627654
350,LGBM,MLP,0.39350649350649347,0.07758803344921028,0.6371761329350449
351,RF,XGB,0.27662337662337666,0.22479050345941629,0.4806957639906047
351,RF,LGBM,0.37142857142857144,0.09735837325949603,0.32546926409315774
351,RF,MLP,0.2987012987012987,0.18841842410537243,0.37533621856836846
351,XGB,LGBM,0.46623376623376617,0.03314052796877139,0.580875937054821
351,XGB,MLP,0.033766233766233764,0.8844723124673912,0.21911352475649246
351,LGBM,MLP,0.10519480519480517,0.6499672847296488,0.649327758598655
352,RF,XGB,0.8155844155844156,6.625472991270261e-06,0.5314790288223881
352,RF,LGBM,0.5948051948051949,0.004454414364936613,0.6136690595608287
352,RF,MLP,0.2961038961038961,0.19247618519439216,0.21184008874709737
352,XGB,LGBM,0.41818181818181815,0.05922578935165219,0.22508743342859408
352,XGB,MLP,0.2324675324675325,0.31055989862791317,-0.09708362875841427
352,LGBM,MLP,0.45714285714285713,0.0372083724068703,0.3189322664606877
354,RF,XGB,0.4688311688311688,0.032044958116342656,0.4217364164258631
354,RF,LGBM,0.348051948051948,0.12207717550592732,0.5476209834318951
354,RF,MLP,0.14545454545454545,0.5292829389801046,0.47350510691743813
354,XGB,LGBM,0.18441558441558442,0.42356621430502056,0.5807734436331035
354,XGB,MLP,0.1155844155844156,0.6178368603191974,0.5415087044913333
354,LGBM,MLP,0.03766233766233767,0.8712435420745898,0.638308279814904
365,RF,XGB,0.37792207792207794,0.09119661406939472,0.712803683557193
365,RF,LGBM,0.5844155844155844,0.005399998364912409,0.8847844353562283
365,RF,MLP,0.3207792207792208,0.15625650175659497,0.6894680653300229
365,XGB,LGBM,0.7194805194805195,0.00023665715585405198,0.8034077809954276
