test_index,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
534,0.3572360349471252,0.01973852299500772,0.004724177846470431,0.004948616117145954,0.004560305927816507,-0.005789732852700383,-0.0745156992779731,-0.07299583334373172,-0.1284362017418642,-0.0037325861682490093,-0.019796366191447937,-0.005579928077796386,0.36037166078773347,0.02980082335175467,-0.006135836687567431,-0.007682657533920647,-0.10384001095922911,-0.03932859084952063,-0.00379682258504634,0.09812984016230884,0.0004541220840010952
535,0.0930122630270246,0.026702246211432797,8.483289019366054e-05,0.011797276186297516,0.021726258072422962,0.0016854748326032313,0.029163766551882277,-0.11677773636254943,0.03956487370951805,-0.005839954240234283,-0.010709419721245972,-0.006930871501836949,-0.053785164796453684,-0.10409517081760883,0.029048352307215586,0.004285951575629382,0.008236664960515554,0.0006173157800135457,0.024513381837508518,0.05996616767717851,-0.037433718005870864
544,0.05633251393447005,0.012492275090538274,0.012359597451478533,0.0035507747521566426,0.01437642137250139,0.004886264698079324,0.010647581073166072,-0.07071527950582633,-0.06093357858605886,-0.004948442932327083,-0.011717651151505675,-0.0074005429183547945,0.23981180187209683,0.01248588366227631,-0.2648862837055338,-0.0351453912503094,0.020849900504675833,-0.009820059327503391,0.022479321552062972,0.11044203850459931,-0.03495320216390799
548,0.2964081267857392,-0.01690028752066511,-0.014702738704059014,-0.004138520693499192,-0.1083288734369384,-0.014514414528333942,-0.024699048644946587,0.18821961878252028,0.09740350380313591,0.009457073693734032,0.03958663179790971,0.013276208210149016,-0.34444107613810276,0.038963356577001326,-0.0983539639261946,0.0024309670450729844,0.009988863754531752,0.060351445439393296,-0.18160645856561708,-0.31285371498369113,0.041519922885109306
561,-0.37613088525977756,0.015506411339947962,0.0043634540424379205,-0.006906363912578171,0.01671089181401145,-0.0008006547847553192,0.011869437303765553,-0.057860332246109425,-0.016634281088181168,-0.004773308346184598,-0.02560310002180309,-0.0056876330035785455,0.20049965570526537,0.07160607439664789,0.007629402745887157,0.008577963276834705,0.031093479479517936,-0.01614881738090153,0.025365814326025502,0.07981969818319277,-0.07549447338972061
567,0.2653001918152673,0.02111155931108726,-0.01575516397698482,0.00952296138938702,0.005895095443349732,-0.008129349761471817,-0.0893853957156026,-0.0817082349088918,-0.16164825671598262,-0.003417708139830433,-0.02738927865814337,-0.004464768187847258,0.3827903316081786,0.046982345532665074,-0.00529706485596115,-0.009213701513707592,-0.12706705941687438,-0.04166354385281565,0.00513201606969216,0.11226627856077313,-0.005540256935909844
576,0.32586385789012606,-0.03987007628529724,-0.023008114823059787,-0.0010034184024167309,-0.004200162189064816,0.00047383257483698334,0.012569686461504899,-0.002877838042328733,0.03126604036559125,-0.006433383273995694,0.005609942652622236,-0.00346225830846098,-0.24188096046434213,-0.28193258607968824,0.022108589620065924,0.012565164022103403,0.04026652610054033,0.012004184952431586,0.001856926714122113,-0.0016366817582472576,0.06104723488594061
582,-0.2412917058469558,0.023766770038981585,0.0035556630369021386,0.008452940227580545,0.010229363170544093,8.113202812415091e-05,0.022982361813888626,-0.03983113498590482,0.006232483699000322,-0.0033041586386930127,-0.005773877515764947,-0.002385460561605943,0.01674578524240734,0.036231879336740665,0.043261023698038276,0.010478042487354044,0.02851536931681328,-0.002118299989077777,0.013660942929001168,0.03435817261114393,-0.011448047473808147
583,-0.45096390205785647,0.0218567487096803,0.007976344431655704,-0.02274254339911508,0.021543393271271985,-0.006227772490871427,0.12862328731935413,-0.10980397238838151,-0.013749559600572532,-0.00842931117303359,-0.05106193485776216,-0.0076487675981423775,0.2668649086135109,0.08035135983761857,0.05000345872058038,-0.0035693735111191503,0.002710444472739742,-0.03916318063154268,0.035252906886269655,0.0967164428728377,-0.047165045538023496
584,0.14352444782930773,-0.031258910414545656,-0.05049548713660612,-0.005142721891767587,0.00046316136437115425,-0.0019846867477318064,-0.0035939233245557366,0.14636594282106546,-0.009487872756937223,-0.0036878301609339385,0.011396526486421183,-0.0008719650041736303,-0.1832436816321267,-0.1598929238962635,-0.010227006666868335,0.016407637090787276,0.00690156808800366,0.0063993627699980675,0.0012104557808646184,-0.06560125086311383,0.07424760642328275
585,0.22168041617471335,0.007897824817200624,-0.0689907657230552,-0.02288817384588361,-0.008525006730429528,-0.00040224160479630534,-0.01745910549722461,0.01770389113237759,0.050125587469451796,-0.0038862772212963307,0.004392888302221978,-0.0018958313035959205,-0.2746863009526094,0.050911732897130094,-0.017705776936916093,-0.040885526045516776,0.03964439603764591,0.021326042450959995,-0.0007194079364262599,-0.05055355112768533,0.04282000162266242
588,-0.46262845727654117,0.021971439396806514,0.010099273021195789,-0.0034594723180593114,0.024830045664287228,-0.0002282521794236648,0.1979320144657726,-0.07557578261234082,-0.009667575700485827,-0.004341056140349883,-0.02515117635050734,-0.002786261961167949,0.29046903703969584,0.08593855130027815,0.02328561872699936,-0.006960378782597324,-0.002899261473500947,-0.05437681597793245,0.0171391778220309,0.10913661315036426,-0.03341006789635301
590,0.4538928782494401,-0.06085249825780243,0.028232738655708522,-0.03293427348427725,-0.005839816453067051,0.006229977286116428,0.0007752347054065883,0.22563998021533357,0.15310490098552912,0.0013738403619129925,0.03153925713213521,0.004564725061122425,-0.3284364692650199,0.02303127477454708,-0.017473626679402773,0.011434054948749339,0.05497473287908251,0.008053011778169845,-0.008013555077181168,-0.11799540613652483,0.07711855532486914
593,-0.3754133604588231,0.02579003501045294,0.0009164648811305025,-0.00823743357495691,0.018754683952336926,-0.0013767651665627316,0.014932360496175497,-0.05020228518422042,-0.05326232950617991,-0.005347991685071965,-0.009193562825943859,-0.008667676707615174,0.2130121615224392,0.04039197139118094,0.008961583076283842,0.004661497106216536,0.022347925909565882,-0.011789527891605896,0.025043741419132393,0.07288629778961796,-0.04169945938159909
596,0.06941674848095221,0.08917743976273913,-0.0023651610601643047,0.01254325972542576,0.02278968625879161,-0.003009285159462845,-0.09095975943733042,-0.08222204766202902,-0.1387793875219411,-0.004358154310106002,-0.03495493588540798,-0.004168663321789309,0.43293539466937625,0.04349748566014123,0.005249523567350847,-0.010143893891933098,-0.05842702375996889,-0.040803572629216446,0.014867029158763595,0.13341114966381526,-0.0288709195267533
602,0.27728895544422305,-0.037833030312856473,3.201903175482407e-05,-0.003641291771664197,-0.04623554600871886,-0.002641991816879436,-0.027550093944601558,0.1407166184381162,0.008254490801487423,0.007817832746584628,0.04134646252402487,0.007489578605407891,-0.3531463627216275,-0.12896579699005023,-0.018455250048660263,0.010826627527191492,0.01998905406426019,0.011848789986145004,-0.0925103275346524,-0.23619670625445746,0.06306205077285514
609,0.08939238162894389,-0.002946005258336731,-0.0006037803062491656,0.009985276119179794,0.0012590049764319535,-0.000726408515521738,-0.042623224268013966,0.0963119674080213,-0.048409549176407565,-0.0036554250514000334,-0.003499293400583639,-0.005473452453407342,-0.08104508913795344,0.014697538687121075,0.0025019323430513674,-0.03967588375798905,-0.017814584206415504,-0.0004615762571700594,0.011821457878612069,-0.011175806794587857,0.015440180447620454
610,0.11640393403488218,-0.07840939823035434,0.011807658721655805,-0.040794684693125596,0.021641642994923764,-0.0030730911491326923,-0.1473785023231654,-0.1507736301832927,-0.17344114097878782,-0.00636599538022055,-0.03184377179991531,-0.004035252733840907,0.43729988858607255,0.033291443670565975,0.010916649705079684,-0.005053824398155057,-0.1803235254697582,-0.027150751028016087,0.009477077962949733,0.14547243873565513,0.06704487028495662
613,0.05525957172942126,0.017781464632340843,0.0016421369288211083,0.011900691695339439,0.004563637451792248,0.0016189417728840925,0.02424364153495039,-0.0831322891776933,0.08465176882954319,-0.006872709940987,-0.011596226938881954,-0.008781338096348424,-0.1280089701036646,0.057566968038972634,-0.0014431593380196976,0.019324840263935324,0.03715270000858148,0.00820274616202993,0.020670272881662448,0.01806679406801132,-0.026112929076255634
617,-0.2508137738122457,-0.008361654453178937,-0.07810600775962376,0.001064507575357581,-0.009285700237154837,-0.0017581821640517451,-0.017724554901116536,-0.010590898534376874,0.07465330173103915,-0.0026606551576945597,-0.0009223367749299064,-0.0056028864851854435,0.12039526996268587,0.057924492161135245,0.03055203246769428,-0.09829683890560915,0.01984178946089106,0.0077465813517478685,-0.0024010068759113875,-0.07822632831752402,0.02900609379595737
628,0.42553901544259093,-0.0005873950341535827,-0.020507378527702402,-0.0008447807960291518,0.015195915181554347,-0.041120432535484114,-0.006351494711317407,0.07650505680138235,0.22244586802959976,0.01186859896656241,0.05539650342982071,0.012267527287127444,-0.19069281459944445,0.028893471923643613,-0.2544985835586551,0.009797450245064399,0.00015924419480128338,0.18923987336981957,-0.12177500701321954,-0.3338584971361871,0.0008354178499393173
631,0.5278731265630192,-0.004557938487809738,-0.002917911271729352,-0.0036431186677145437,-0.03162439430576413,-0.0053932352798585804,-0.025009178622571227,0.0997654144933579,0.23549098293363901,0.0006304210614175462,0.040244496115708135,-0.0002488556052252542,-0.3244687351835387,-0.09882502420833715,-0.11095083974327286,0.01927252026351437,0.0298574790053175,0.11609270925798755,-0.013477733925937757,-0.25518158270440294,0.004803717833731917
637,-0.04649520484138268,-0.009147938511235703,-0.05321065766752449,-0.003439936951659371,-0.008839465932601058,-0.002799816687584646,0.007739439938414192,-0.02634344858731662,0.15626570367914566,-0.005295616051983345,0.004785997561842495,-0.008064503680418203,-0.12309134386028546,0.06889871000886683,0.037449484502949985,0.008073411014134614,0.05689191564398282,-0.009768962535674315,-0.008153626822728834,-0.05303312216390888,0.069254117261654
650,-0.025021622211188917,0.04859297081423986,-0.0005034305742725019,0.011936592985583394,0.01187877177015591,-0.0066728793723419685,-0.09933171128517589,-0.09853259377087138,-0.16961733717941072,-0.004237234572023455,-0.04014764412770965,-0.005919633190935175,0.44514842833244345,0.04607783712093406,0.005337933726770517,-0.007300470069801348,-0.0722500198708442,-0.04548014985939825,0.010787780886521088,0.16602798774951075,-0.021779525186119968
651,-0.0697998258553021,-0.03682217616608371,-0.03745394252939598,0.0067487596085532295,0.005632953007328557,-0.0020679651693644,-0.04564005519900158,0.20910168797877485,-0.1343207968337387,-0.004702559307275801,-0.0015208039365562957,-0.0025871117875410003,-0.014380004753751147,-0.02374952112571439,0.017247455062059092,0.008807790674309101,-0.00871589517006216,-0.01211926053143824,0.00605804129499663,0.006866486552279086,0.05938002328727012
654,0.3007047706937803,0.008156820696852389,0.006821783884732296,0.006937182994344293,-0.018670028896394523,-0.0008593087226696595,-0.006816098791588049,0.04673432886241453,0.14300723444923583,-0.00200866366175952,0.019143859436627584,-0.001126290813963646,-0.21816509708353296,-0.026743456778260625,0.021801479764907195,0.013275976731156712,0.04084865777433428,0.01663166138289201,-0.024067282669201086,-0.0999426949024682,0.004527868717839579
660,0.045991324303313624,0.007523116982900777,0.0035333037029545763,0.00912361735095431,-0.003167322640950578,-0.00013074086029624373,0.005306682209983298,0.03378009917629501,0.07594608375866903,-0.0012408170991071695,0.0018154609523005122,-0.0029965813245672853,0.033675056242503006,-0.09557232482204549,-0.014329226047464932,-0.03987656172774423,0.00908536886003475,0.0024482982159330017,0.0025273460726806304,-0.07731843247655475,0.020295447868193654
680,-0.10125293759938941,0.03004112474820213,-0.0016297593143375316,0.00186119366653624,0.0007112638236231847,-0.0007773875351838019,-0.022837994158862805,0.14626081731327167,-0.10805271347498614,-0.0027673452738966836,-0.0016518811887057709,-0.0064570302511641805,-0.043177303423371026,0.054584796543025685,0.020603982949655764,0.009582920622674034,0.02736884427735652,-0.008594932881339326,0.0055282556197612165,-0.01267849840209278,-0.02558690027469138
693,0.1811544875391857,-0.03367892130543849,-0.023683582234289166,-0.015301924378308266,0.010579895633700646,-0.010130309025358853,-0.16313282338761093,-0.10614369833009306,-0.15758183711243354,-0.005888459332377059,-0.022528066100247192,-0.012356006311044655,0.3937824703036966,0.03056068259567941,-0.007254566384118111,-0.013571404727901278,-0.12618790880153685,-0.06731361854079775,0.0024242196866774636,0.12547818629531854,0.0026629289117736103
705,0.048295260467259696,0.014778320991326704,0.005639329263904213,0.006247620943987978,-0.0041231315515404925,-0.0021963355638266635,0.015445059343428451,-0.04207039838427618,0.07498027378452264,-0.008261790177370316,0.0012247730605808886,-0.0018183186119490552,-0.09125884878513228,0.06706118077976815,-0.0337825206666852,0.009641758314910999,0.02548685766874457,0.0006585245397487772,0.0068799355224949295,-0.06169885975902734,-0.0292737635602754
710,-0.548720424542119,0.042519862255410414,0.0025254159900127515,0.005333782215033756,0.02425560897078799,-0.0034105541557783144,0.13054371177463173,-0.08204292724554389,-0.028861110892383544,-0.0082986793464472,-0.03170075212413059,-0.004676007310316065,0.3186490807348,0.04625580194897467,0.040813994631127386,0.00036516889742043123,-0.019378383454200322,-0.05736764568447452,0.03424727453743286,0.11142974926044533,-0.04644601722649138
720,0.06368502562348698,-0.012015422662995856,-0.04127731276704836,0.00872805420659764,-0.0008255325504111636,-0.0004612648816931923,-0.006707163317309494,0.03434550940193127,0.013814772570011687,-0.0042434022837087,-0.0016989776200283411,-0.00478308714226206,-0.18895702267533582,0.021981864582692304,0.012720660310539226,0.01769132867169216,0.043827826231266936,0.002367506704449836,0.004616933022356546,-0.055333132916044005,0.05122469904677101
721,-0.4086376617493395,0.016553046718613754,0.006697750463933713,-0.0014025456180847432,0.01280138616114207,0.00046953947645686245,0.02232293818931135,-0.05601694885822097,0.01271136711896212,-0.004400896110667074,-0.010380617317192345,-0.003152231571280938,0.22618243902058754,0.047976669982775055,0.039396688291560504,0.01619724404625435,0.018618892115636075,0.0031218835843405362,0.012685852867427128,0.03979020673386524,-0.03841479425571103
733,0.5394476837527402,-0.012960221957759399,0.01114253012449172,-0.013215822760069627,-0.027804542609014507,-0.008425925469396285,-0.032094961692960826,0.4182020812671798,0.07248265510459923,0.004012244881020109,0.04564557066147119,0.010509670734597269,-0.3323251531798357,-0.08470957668204525,-0.020944084768549417,0.028558929912076435,-0.034929986505798365,0.06731879483554515,-0.05743503693165255,-0.12112391371966567,0.04658197794588234
736,-0.44518818416775735,0.012150866182344889,0.000464911213317887,-0.001470834613414646,0.018168811352695293,7.213991838672158e-05,0.03973930378091365,-0.041052756406409215,-0.01794678944404184,-0.003177981827681893,-0.028050812773203357,-0.0061530060162861356,0.20750355204938276,0.052949595543608986,0.052067481099736114,0.005176890887493071,0.02849857656276705,-0.012553660379551374,0.017994468632004275,0.11959318054239475,-0.034191315253656145
741,0.17674551230852104,-0.0055381011023823675,0.011143191702939174,0.0006282487729887038,-0.014550245450470449,0.0002142166189297957,0.00398673148888922,0.040054481799030435,0.14490296680536316,-0.004070182210735374,0.012786374557944541,0.0003757161061387172,-0.014033990632174705,0.055693517374355024,-0.10721864470194807,0.007047983211181496,0.04338672021863329,0.005640479231272691,-0.014988494869524667,-0.08317783288056738,0.060187320912463704
756,-0.021956138328871208,0.02850436619730019,5.5669951980023205e-05,0.014323805503082099,0.0040788020209782646,-0.0014190254456697062,0.03293164042170555,-0.06468536803749111,-0.019346791451527755,-0.003651102225977923,-0.011628764918811109,-0.01119280044374792,-0.06962848702211112,0.0601290248965555,0.028029399626649163,0.0182628960324714,0.023478716563570236,-0.005063872030856161,0.016789808241667124,0.07686364501057791,-0.0313243438365945
757,0.3223572000463352,-0.037430847119051674,-0.00733362690376286,0.007735907752216663,-0.0017084036117125502,-0.00023038873677624284,-0.04074754111724896,0.03602279014360248,0.016020669954187865,-0.004054221127230667,0.0016760144964049805,-0.007376035054323455,-0.3156716561386516,0.062095170661884455,-0.20874749230401857,0.008584567542613273,0.04778151590517101,0.006753331719869804,-0.00011536755986842946,0.01726008760722222,0.017628363495298442
764,-0.5099172155576142,0.021716603469716718,0.004725854011619745,-0.00022390329637182233,0.014077218856762748,0.0026081971559052098,0.053026808042488716,-0.08674742488215198,-0.043655221502584954,-0.00465951473787862,-0.031895889644218106,-0.005511776131291793,0.28672300957122066,0.05626417043268451,0.0494983692495046,0.00598519612955023,0.002451764835754792,-0.039847590885636205,0.041672929242274476,0.09508587497554495,-0.04471591676480133
771,-0.33366086447290216,0.029041806182350284,0.0017679374041087122,0.007695305402320245,0.024502284848744695,-0.0009549594792499252,0.07892065883740852,-0.06773120734449724,-0.020774371096553446,-0.0060874754897581864,-0.03224108506451152,-0.004872112274115096,0.10987400329187308,0.056060854026352885,0.06513229800414995,0.006784391654445738,0.014300412685257512,-0.04785328411850782,0.027790517051227502,0.11085691937475253,-0.033889906135622906
777,0.31138084675733935,0.001491481083067666,-0.008529430952602791,-0.003973987256285833,-0.06074378323126995,-0.0030160233098159113,0.0047268710390665014,0.2548503980153272,0.20748736934195974,0.0019697872993351233,0.02810289022369562,0.0017399083785683783,-0.3172262893172128,0.0472028184765084,-0.006736913234125576,0.024555658460065213,0.03297905404512477,0.03236909509771555,-0.05619545977473757,-0.2201409029045782,0.01509286085252876
778,0.02484106323734397,-0.12846339303229867,-0.05141194394772772,-0.011888778298472052,0.012674268885052116,-0.004371563157538752,-0.16336236805008703,-0.13151627198866842,-0.17512436377058066,-0.0023886473131289263,-0.022852524208097212,-0.005090425327647313,0.37564996519173194,0.04073273430638586,0.006824139884269914,-0.00501467724965608,-0.15630731994364794,-0.03206355387007586,0.006570564806786802,0.10920018779401044,0.10670568668980845
780,0.014909798867995023,0.002848432294354544,0.0026857624032978478,0.006199791487580602,0.0071290324144412795,0.001942978697261706,0.019425158395347152,-0.030665792989837445,0.07093317791285489,-0.0059210002146123245,0.001682049222388326,-0.003900810589756855,-0.17654065144132997,0.04432359031517839,0.02165000837914262,0.016036299944427544,0.023066098247464285,0.004163956872320318,0.009427829687197754,-0.009058183092345394,0.012966390471137205
781,-0.06360598686069056,0.014583988742192106,-0.0043563620554016354,0.002769572117587271,-0.0048439977221228035,0.000910868421105908,0.009125794833482673,0.021710055440061018,0.0433149908627889,0.0001424465872094673,0.003572924241561334,-0.0035648485560058644,-0.13548992165632737,0.058840103027953,0.04184193478595902,0.012986750984450535,0.042767124929047495,-0.007096107833633596,-0.0010343622407933155,-0.0036494539447030918,-0.024383256252968884
782,0.34134046924029093,0.007072859138655843,-0.003926389171178607,0.003760627671647986,-0.023994280973385487,0.0009430417983163429,0.01346448015675941,0.12572953814276708,0.14783918949647024,-0.001006936213138513,0.03276351306127923,-0.003058338024189691,-0.2860120695303193,0.07701431508407836,-0.1883686714843811,0.023908700257125513,0.032125988918146726,0.020435737851408023,-0.021532112132667654,-0.14429327543677484,0.0020591156573987694
798,0.37755097073542065,-0.04620341322381065,-0.022082082507065528,-0.14285956897428911,-0.008523533998073603,0.0015551298238719502,-0.06072246677915678,0.15998525219130236,-0.001384476818360927,0.0017970058589011086,0.03221459075014044,0.0032152267538870915,-0.4196602392129518,0.031004144162950865,-0.036090386923911394,0.0063644421843640645,0.016663085812632934,0.015848709974790303,-0.018606746260532506,-0.11490845013108855,0.028949365902402154
799,-0.3105082576417369,0.025253294423036685,0.00762658661154488,0.011463317890635715,0.022663527571264375,-0.0008022511409643652,0.024422896101938187,-0.11766986455003946,-0.003827005966853825,-0.003967914034212121,-0.019002009572322388,-0.002743399683690845,0.16373122567979098,0.004394231275687754,0.030763496725977234,0.004543724247066755,-0.006550422316322182,-0.021093217574424186,0.02487096047272509,0.0897237053159001,-0.050137627615997805
816,-0.2263625622405959,0.023214052131199637,0.0006735955863744102,0.006185805460699162,0.023707506045949546,-0.0013372410593875735,0.04783393459148022,-0.08789602098370902,-0.030872676609318774,-0.0036914433121566104,-0.024388907215520058,-0.007152546823660449,0.27083048304722107,-0.25161479311820184,0.026733826377714723,-0.0036204456966369204,-0.008436860612795947,-0.024043850458212127,0.03098848369706695,0.1185954848492472,-0.02982056682756754
817,0.09983795972839059,0.006123522801174261,0.010747433472032568,0.0006617093883863498,-0.010479160663394936,-0.005762214386481637,0.013482063398152328,-0.06486257754919351,0.12670889067190413,-0.0022733372469317167,0.00392240265991644,-0.003161477988259103,-0.13076371887411753,0.05304466005057211,-0.08318270902452013,0.014597823375667339,0.02044453589542291,0.02178560633332059,-0.00015298685015842993,-0.0894910281425882,-0.05384562977740068
824,0.12045485108862812,0.024448589824628518,0.004024755736365152,0.016263212067304172,0.007225561097773322,-0.0027707576654784046,0.023032126440751286,-0.046589684578646866,-0.021676030017487233,-0.004325518969155486,-0.01212795862560974,-0.0029940244174719503,-0.0540247718677836,0.06572936138885357,-0.0023208597919011013,0.002044642593954858,0.032962018003685215,-0.009254996909116563,0.019979798991446165,0.02702226623123204,-0.013029340814541273
838,-0.3804202390012208,0.010831763724092348,-0.027590508284624095,-0.008049546945524509,0.015333580284965483,-0.002680039991120095,0.011911093073752316,-0.06138721278148027,-0.11346242095869676,-0.004266752745266368,-0.017410594396676603,-0.005328054569371235,0.17922260838843607,0.06761513889294289,0.0382596538019438,0.011535910790727903,0.02341137296118778,-0.016411588042885675,0.022090495279139196,0.08781769283695115,0.009040671195408976
842,-0.3795532903423143,0.027987287177940353,0.004845965987132796,0.006530795202705316,0.02545913776645908,0.00208670421015672,0.03033308308953592,-0.07476407773678066,-0.07064195301279334,-0.003311546329821763,-0.024349040626431808,-0.002775372310418819,0.18066964036164757,0.053902140460695996,0.03548478242555324,0.007255800475306908,0.01829617910224834,-0.021852198185721528,0.03302127485341463,0.11147948341563524,-0.03922393476009905
846,-0.17972734550665892,-0.002679675216360987,-0.0319309899986349,-0.009283665184669597,0.009140121805952082,-0.0017471355299261478,-0.0005769626781835967,-0.033268726367798644,-0.07785820257577226,-0.0044486108666443955,-0.024802875616111816,-0.005984936948464256,0.009066582307810744,0.057606793743270386,0.040681966817379296,0.011270586959949406,0.027750088881030435,-0.008768928400299896,0.007943398112406054,0.04922167545152156,0.017696337665470695
857,0.1533275211886433,-0.007471652212893428,-0.0172857278993063,-0.00297489045766396,-0.006515420018547271,0.003649025760890344,-0.024372602279846486,0.17431976928941853,-0.029960588172387694,0.0002430434697740961,0.017290025995525066,0.0005820808260774877,-0.38640712581054615,0.030812330104589447,0.03394815645518079,-0.008535745036762903,0.013967385863187149,-0.0002033371766563954,-0.003753694840503752,-0.09199968543006648,0.011793687579581259
867,0.37160660924731004,-0.14645393266412485,-0.03357957940102488,-0.09412399900220757,0.001136912113862186,-0.012945334343053368,-0.17652192925243726,-0.1358659693044003,-0.11742516564340642,-0.004919096081175084,-0.021447050449678356,-0.00589258830196924,0.2762510813413257,0.02554992280027006,-0.004620218172497183,-0.015200631158491427,-0.12890471078507096,-0.06016952101045953,0.0025644315118630136,0.10078617134530479,0.027366050927180797
869,-0.48116901269577794,0.02688775775792125,-0.00614592246844852,0.001430818757413349,0.03138501333448252,-0.003872573319694442,0.10368042828425311,-0.08661736013121495,-0.015294051141144432,-0.005258288192928676,-0.025789311362389045,-0.0050172957362239,0.2004610890914518,0.07859748964433023,0.05720182900182129,0.003506713137633846,-0.01489166484161563,-0.025229699076904047,0.03054434605776403,0.06949170843409917,-0.046071535698276184
886,-0.16198137933045526,0.01674771226294729,-0.004540817542863712,0.007773227806577316,0.017259610538739114,-0.005879558800293519,0.04701117014414977,-0.07126045795412131,-0.05036769818965388,-0.00545499692456985,-0.03185283819945414,-0.00560663711588867,0.15737322856633892,-0.2918701315650212,0.04114825785766695,0.008290683927342462,-0.0032280796583666355,-0.05148383974132564,0.033820893424603246,0.12771194818022896,-0.02605343005220818
889,-0.4627651370786383,0.02160832635898123,4.641787641798867e-05,0.005923777933433538,0.02248642533152427,0.0012501431423286176,0.04416979764213059,-0.11506918670551315,-0.013142200743034849,-0.004581348128752134,-0.014795814537567675,-0.007026130130560163,0.22124501626830687,0.042809785370795356,0.07045394109130354,0.004966539779082386,-0.008443169768278986,-0.014221862676740022,0.031375569000461644,0.07232414445760244,-0.02224966502994706
