Model,Global_Spearman_Mean,Global_Spearman_STD,Global_Cosine_Mean,Global_Cosine_STD,Local_Spearman_Mean,Local_Spearman_STD,Local_Cosine_Mean,Local_Cosine_STD
RF,0.8902597402597403,0.03651919930759029,0.9821603230413993,0.006828921976714866,0.6904632034632034,0.15703995807926516,0.7984641608147851,0.15656851874915953
XGB,0.7637662337662338,0.06302664586697607,0.9874251883675464,0.004049578476413004,0.5671961038961039,0.19806885454439616,0.9137948093418381,0.14167833858919726
LGBM,0.7516883116883117,0.05044283944202147,0.9785161432838155,0.007715536248253937,0.4624484848484849,0.20165569579425943,0.7347058525844308,0.22420739836283837
MLP,0.6151948051948051,0.17318403515240968,0.9420041021567217,0.0169357661773748,0.6581675324675325,0.1410192162381366,0.824902350246129,0.11967993594207435
