test_index,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
23,0.007192051753127089,-0.019131089748443627,0.0009755651941304677,0.0,0.006316132982633462,-0.01602076604904596,0.00014542506833095103,0.013325204906154796,0.008355895429212978,0.0014011495971180921,0.0004444058961234987,0.01777592360453127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.011792807466717932,0.05815673596867782,-0.003962445845791081,3.471290983725339e-06,0.002850730862928685,-0.017380375425614148,0.0015858632407616824,0.009348244446537137,0.006740135047039075,0.0016022712357425916,0.0002670790766569553,-0.02320190114317029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.009832608357073695,-0.015307146572613419,-0.006209269824657895,0.0,0.00998225943628313,0.013893376597638962,0.00015478824207093567,0.007606084719263891,0.007816624789802518,0.0009737625895195379,0.00030380000302102414,0.011541231842297748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.010541042936388294,-0.005591825866849831,0.019389756936807317,0.0,0.0006690540195245376,0.006779302088948498,5.73707016883418e-05,0.003029842704333987,0.003696620154378252,-0.0006343708868325848,0.0002763090358348563,0.006404193306182151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0025519192622505214,-0.01355952291621179,-0.008242975285083958,0.0,-0.012845496671852743,0.006897150108011374,0.00013968207349535078,-0.010581716792228236,0.008104885315351567,0.0004062886898191209,0.00023020545195322483,0.0013004358030684672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.0010425901695680295,-0.0009817443441079376,-0.009599657063627092,0.0,-0.015002048035905774,0.0047935697289904055,-2.109525084961206e-05,-0.005200904295260216,0.003706108558919823,-5.886657412247587e-05,-0.0007292592633712047,0.005054951546910615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.009042017984461382,0.002610787242756487,0.05104220397795871,0.0,-0.01584501356856663,0.004903650108553847,0.00011034689377993345,-0.006798600659369641,0.0013511147498593346,-0.0001787347267190853,0.00027044935151934626,0.007807245337203312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.005522930346132853,0.0025645466013884287,-0.007958680014289711,0.0,0.00567908194672782,0.005445570792594481,9.722175484057516e-05,0.005837007382688171,0.0022621336273550697,0.0006515265602956788,0.00042406184074934573,0.006041109931552455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-0.017861018323910686,0.05754724026810436,-0.01146892151380598,0.0,0.0033640604833135514,-0.012562412200127255,0.00012971330666914583,0.0062737248321536754,0.0013854873158652482,0.001351462667935266,6.867404823424295e-05,-0.008222108544805451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0047994459041365185,5.901832546442165e-05,0.050482383119142465,0.0,-0.013399730295186601,0.004610563007518067,6.99100538622588e-05,-0.006431736666143024,0.004208267052899828,-4.373768264031241e-05,0.0008386371545202564,0.007312964332957108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.00988092038083778,-0.011607049917411133,-0.0065631164658225315,0.0,0.0008309136100888282,0.005679818401126795,0.00013690429565031082,0.008259216941842168,0.0031206828167159983,0.0004850951452044683,0.00031612113292794674,0.00501296822445056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,-0.0039333475096009355,-0.0029684070787880045,-0.007375180356484634,0.0,-0.013967435910999484,0.003728705388452909,9.845158259849996e-05,-0.008995653033834969,0.0035501205785476485,0.00017876272669127503,0.0010262284364944208,-0.0014865761523878973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-0.028110505004237892,-0.014184864731123525,-0.008416286508547728,-4.374980417196639e-06,0.005721231933445097,-0.038463901858890495,-0.0009630839096644195,0.0012329554996961178,-0.047512708089329864,-0.0041264777659739595,-0.0008632956853216456,-0.03732698161871099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.009470457141082989,-0.0007661324815080662,0.02084154992419826,0.0,-0.015378609820686506,0.0046075851026034795,0.00011991005507297814,-0.006200357587301824,0.002169038339616236,-0.00010999061193160742,0.00027084350236691537,0.005236832990051426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.001808561331954479,-0.003835769726865692,-0.007172587377517629,0.0,-0.013464122444383974,0.005278388011461175,9.845158259849996e-05,-0.006919702917366521,0.0019315324864146533,0.0002182742714376218,0.00042554874497000125,0.0005576441394941866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,-0.014601769873233934,-0.02958781639618792,0.007529862472238164,3.471290983725339e-06,0.00657487261247752,-0.0243542809042674,-0.00021248047385597602,0.00961548346849213,7.288849822543852e-05,0.001772707133895892,-0.0008256347443057166,-0.02268089133615831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0029036434624003958,-0.019605316347933693,-0.00452707183892926,0.0,-0.0015413514055376254,0.006728900843663723,6.483258737716824e-05,-0.004858161908964575,0.0034394491038119666,-7.375109036274808e-05,0.00026176118873991075,0.007836944540224522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.004945053002534223,-0.007077931964558957,0.016903175387751615,0.0,-0.014616536849528074,0.00535177439344352,6.292625737842173e-05,-0.007875086244996509,0.0035468694358769424,-0.0008804647658189424,0.00026476542640011756,0.005453116859855527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.004829499450661388,-0.021848361584807206,-0.00730025444068815,0.0,-0.01152242094047324,0.006301457611457408,0.00015756601991597562,-0.006854732170450006,0.0032132189203730377,0.00035027351322241884,0.0003048416698584333,0.0014503526050748405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.008367625996834249,-0.03013821692620695,-0.001799784159866249,0.0,0.005876657973271904,0.010697108947028936,0.0001571607738151215,0.011826035555113776,0.005372235767472375,0.0012961812887533597,0.0004446049999387469,0.009577253778084015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-0.024810641650433354,-0.020378882148716002,-0.0071024032801597055,0.0,0.00553769147006733,0.017672910919995958,0.00016274688387056812,0.006265471130864171,0.00802384692961823,0.0009037169141811319,0.0004802887479308993,0.01418595321481007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.004122539559903089,-0.007912027928218776,0.014432320959040226,0.0,-0.011272575690750273,0.003803611152970916,7.002563506830484e-05,-0.0037620422601378324,0.004183600984854366,-0.00029618910321460134,-0.004222105967910466,0.003687190271978125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
