iteration,removed_feature,VIF_before_removal,mean_abs_correlation,highest_correlated_partner,highest_abs_correlation,features_before
1,e,44811936590751.2,0.5957371231022508,t,0.9999999999997558,21
2,n,9810.750212480121,0.7352564312230787,total_Op,0.995373372740939,20
3,v,1643.6672615222499,0.7213497903206149,b,0.9996230420066715,19
4,b,248.1841178405423,0.7043858693439258,total_Op,0.9816902031986284,18
5,branchCount,68.88760989284788,0.6275211333475599,v(g),0.9816095029083789,17
6,total_Opnd,41.60957610030647,0.6693109332664041,total_Op,0.9709455424724692,16
7,lOCode,25.355745538878935,0.6683345108813178,total_Op,0.9410726123346047,15
8,total_Op,16.307422288127785,0.6428300368025461,loc,0.8771727376490112,14
9,loc,12.441240415187885,0.6112946009548137,v(g),0.8278826137435796,13
