Metric,RF,RF_RID,RF_RID_minus_RF
Accuracy,0.7480359147025814,0.7508417508417509,0.0028058361391695152
Precision,0.43908629441624364,0.44501278772378516,0.005926493307541525
Recall,0.4314214463840399,0.4339152119700748,0.002493765586034924
Specificity,0.8399710354815351,0.8428674873280232,0.002896451846488124
F1,0.43522012578616354,0.4393939393939394,0.004173813607775856
MCC,0.2731014426291883,0.27929040920007286,0.00618896657088458
ROC_AUC,0.7073012616900904,0.7026017505114839,-0.0046995111786065635
PR_AUC,0.42050554233707105,0.4104493185409194,-0.010056223796151675
