test_index,Local_Spearman_rho,Local_Spearman_p_value,Local_Cosine_similarity
23,-0.006184873194696445,0.9787729901262645,-0.13598352731558583
29,0.4192635978884392,0.0585044621108304,0.3023982004786012
30,0.046042944893851315,0.8429043388028236,0.029820005369036444
32,-0.05222781808854776,0.8221073047135848,0.15040848033352738
44,0.13400558588508962,0.5625147986502825,0.25522595919321467
49,-0.08933705725672642,0.7001656279114117,-0.13618394245107268
51,0.318864573593239,0.15888294206082512,0.272929748078426
59,0.1470625404072266,0.5246902677766633,0.18532148634297524
65,0.486543357982787,0.0253125835337121,0.4316147574822764
67,0.37590284861099504,0.09308097357357126,0.3486942729832623
69,0.1168253825664884,0.6140421659249017,-0.008727469500152796
70,0.22746589193828037,0.321377738170317,0.22168655455750785
71,0.27319757023698304,0.23081991623848006,0.42573848619212906
73,0.09346030605319074,0.6869869235002377,0.3324903094744121
76,0.4618038652040013,0.03507668601147875,0.3814930240117375
78,0.155533270184421,0.500810688592383,0.2859187623707812
99,0.19585431783205406,0.3948557560037302,0.2745818547245311
109,0.33535756877909617,0.1372453027318533,0.46224509762018584
111,0.27350883683213173,0.23026777304289686,0.1862907186884647
115,0.37659005674373913,0.09243647467517252,0.13931180663762527
123,0.5587002119209122,0.008473134582258823,0.32994884887379033
124,0.35322498023044147,0.11625508640882316,0.32475445472628944
135,0.22609147567279225,0.32438948593498856,-0.1611152377316062
162,-0.306494827203846,0.17659222588407444,-0.4066921393030713
168,0.24670771965511373,0.2809872975979819,0.3702420875352431
173,0.4391259968234476,0.0464147452378233,0.41785624590963777
185,0.3209261979914711,0.1560561416776725,0.25448779892606643
188,0.6755255944874007,0.0007776671146962044,0.3952393827985222
196,0.34758304728170614,0.1226150588527464,0.35018160748701144
203,0.36490751848709024,0.10384833333872863,0.25266208648181937
210,0.3099308678675663,0.17154330740126705,0.30965671827450403
212,0.555951379389936,0.008872816201145498,0.4601169535058611
220,0.6109280300094599,0.0032615722992923282,0.45218399660722075
233,0.306494827203846,0.17659222588407444,0.15999743595570698
237,0.30512041093835796,0.17863996948094624,0.46901470953065905
239,0.30168437027463774,0.18383011647724065,0.13537359854417233
240,0.33535756877909617,0.1372453027318533,0.19576123151966135
247,-0.16218111932759569,0.48244848532690643,-0.14577498941490757
251,-0.015805787053113137,0.9457856976362968,0.026051967978586908
254,0.15256020546917898,0.5091312131075579,0.33845873696785433
259,-0.032459117255879175,0.8889172852569458,-0.037749406171211974
261,0.25495421724804235,0.2646946546659454,-0.07610089724084673
270,0.235712389531209,0.3036613273373604,0.17015567178834273
275,0.22402985127456013,0.32893862720438666,0.6202135171420176
289,0.18485898770814932,0.4224328694955453,0.3454883408266657
297,-0.005409852875979861,0.9814324529449205,0.35860853677059423
298,0.16218111932759569,0.48244848532690643,0.09608923518533742
303,0.4260690423013106,0.05411910112977997,0.34730905138384505
305,0.18417177957540526,0.4241900783146955,-0.1355214542073891
316,0.1236974638939289,0.5932019347201238,0.3171667589320183
322,0.1758202184693455,0.445856241926558,0.3858055828181921
324,0.3944574681950844,0.07680984002787335,0.30715390972319945
331,0.16229558627939583,0.4821352877011046,0.14899957695757177
332,0.24395888712413755,0.2865540251694389,0.10235886888058057
339,0.060474315681476355,0.7945577974477751,-0.23134425189514718
342,0.17592528198247667,0.4455801389357706,0.11513586499460841
344,0.5806908721687218,0.005777046081527794,0.41646184097392047
350,0.14225208347801824,0.5384851936149354,-0.1731746638095289
351,0.33398315251360805,0.1389640677283147,-0.08288633803930696
352,-0.01758202184693455,0.9397032891784529,-0.07058412340526563
354,0.35322498023044147,0.11625508640882316,0.34864610865343776
365,0.5861885372306742,0.0052278172739088115,0.7117577914783131
366,0.2604518823099947,0.25417241347469527,-0.21857088921979423
371,0.16364804949839082,0.47844246023039505,0.18017735576354543
374,0.35047614769946517,0.1193233236079077,0.40709990560943454
382,0.36078426969062594,0.10811145585377106,0.5140423688469549
383,0.4109504633809416,0.06422297071761661,0.239936359777981
394,0.6631558480980078,0.0010501168396532703,0.30522270397102075
398,0.4597422408057691,0.03600743279300415,0.32741457638393096
411,-0.25632863351353047,0.2620386430566017,-0.2183330754881711
413,-0.069408021407149,0.7649768321237594,0.20494216087835937
415,-0.19204977709728507,0.4042824933566307,-0.2683119395733037
416,-0.14912416480545873,0.51882953353096,0.24758561908592736
422,0.06762316094974827,0.7708630766441904,-0.09413722359018108
426,0.2109728967524232,0.35862340518783037,-0.035104354640544344
429,-0.009467242532964758,0.967512348816283,-0.06056808388358264
432,-0.004810456929208347,0.9834893965353174,0.10375704865268945
439,-0.07628010273458949,0.7424323779667991,-0.2747678193938896
450,0.16905320065503618,0.4638269373562632,0.09332785222669462
453,0.34910173143397716,0.1208790956094077,0.5020814286938973
462,0.3099308678675663,0.17154330740126705,0.5888242315474069
464,0.13812883468155396,0.550440701561692,0.0944024208575564
471,0.15118578920369088,0.5130000430493629,-0.010741099109230675
479,0.1999775666285184,0.38477865843085773,-0.016710917897793644
481,0.2893146238852448,0.2033598378922126,0.5416205226056648
482,0.1014347414246224,0.6617482784453711,0.0358168762970196
483,0.12307415292854185,0.5950798583327409,0.3661554059620029
485,0.38964701126587603,0.08080690485887627,0.39226218694543563
495,0.2786074231129629,0.2213462864204828,0.2491893856160964
506,-0.032985990371714374,0.8871252102080542,0.0016640780943619274
514,-0.054976650619523955,0.8129000649963758,0.4732355152624507
518,0.08796264099123834,0.7045772418069393,0.04686824855294872
526,0.05222781808854776,0.8221073047135848,0.08089954325378673
527,0.32642386305342347,0.14868976374218054,0.11892034448259323
530,0.08315218406203,0.7200890916435249,0.5394539576944081
534,-0.06491823451175835,0.7798066355035131,-0.004549083736492002
535,0.320238989858727,0.15699448661904414,0.27697574968384686
544,0.2068496479559589,0.3683086299699638,0.3521346497609021
548,0.250143760318834,0.2741243996999106,0.3318259649569724
561,0.5848141209651861,0.005360890997526452,0.3540826379716098
567,0.08385271957768786,0.7178233762132494,0.048859499703314185
576,0.36971797541629864,0.09903122411069822,0.4753737352873293
582,0.14981137293820276,0.5168828844769014,-0.1410128274725272
583,0.24209091620009882,0.290375642723702,0.29559106945275726
584,0.4693631546641857,0.031824125694078456,0.7288195166410297
585,0.46111665707125726,0.03538481634842601,0.5274838808827075
588,0.2867222024269327,0.207622035582802,0.1817815289790274
590,0.2762576693631079,0.22542917071205054,0.37513484831602745
593,0.5435816330005431,0.01086725709091652,0.3940052493004221
596,-0.15418080696542605,0.5045875115539483,-0.1382748499945745
602,0.031611574106226274,0.8918011593186536,-0.08158684544697764
609,0.17936132264619692,0.4365998466781474,0.4697489829896211
610,-0.08114779313969792,0.7265842449065539,0.3488489391617091
613,0.1470625404072266,0.5246902677766633,0.11600941974326832
617,-0.05703827501775611,0.8060101233019583,0.019506821821926756
628,0.1401904590797861,0.5444479679065781,-0.11259631535679225
631,0.27419604496487576,0.22905181815994963,-0.023121431640685995
637,0.015118578920369089,0.948139719918375,-0.16937188032614625
650,0.19204977709728507,0.4042824933566307,-0.02655047249974979
651,-0.14293929161076227,0.5365043127634903,0.3637809625690513
654,0.38071330554020344,0.08863837678225989,0.2879427222182579
660,0.10720446870807172,0.6437032129979389,0.44189424250973725
680,-0.006184873194696445,0.9787729901262645,0.5158847623578138
693,0.009467242532964758,0.967512348816283,0.07791953682749894
705,0.2068496479559589,0.3683086299699638,0.12709548198682338
710,0.10684459430060227,0.6448232402548981,0.09596479889254404
720,0.2845041669560365,0.21131560262281301,0.4626662033471744
721,0.6164256950714124,0.0029216140652428696,0.35110398642111773
733,0.29275066454896503,0.1978013795503635,0.40774944699455506
736,0.6452884366466626,0.0015837497649385322,0.41570907641456234
741,0.3965190925933165,0.07514286074275038,0.18170819693485019
756,0.48173290105357874,0.02701823662657429,0.650584689097367
757,0.22402985127456013,0.32893862720438666,0.1450776686521332
764,0.42467345076441915,0.05499720433382856,0.37461396092347815
771,0.43981320495619164,0.0460341108441644,0.378721630087817
777,0.26732396363743527,0.24140092232099425,0.07447255276270469
778,-0.1095495207385922,0.6364230567717565,0.13453407413151927
780,0.018554619584089337,0.9363741441478635,0.25747904870510224
781,0.013744162654880989,0.9528489933590807,0.12194857387099335
782,0.35459939649592953,0.11474249534197997,0.0853034057468881
798,-0.17936132264619692,0.4365998466781474,-0.029154617141827814
799,0.4164481284428939,0.060395910624715735,0.3017723791031136
816,0.34635289890300097,0.12403425697227548,0.27832889494709684
817,0.6583453911687995,0.0011759877185805953,0.4617969530901995
824,0.3078692434693342,0.17456060330132875,0.13327396787866552
838,0.37040518354904267,0.09835666783988829,0.5951790542208678
842,0.48379452545181084,0.026276433524530747,0.5353367934607248
846,-0.15668345426564326,0.49760960804366144,-0.27027303756552007
857,0.10720446870807172,0.6437032129979389,0.02015222129234584
867,-0.18663992422130524,0.4178972513190141,-0.2147102122399489
869,0.34082073118673134,0.1305622087044379,0.2827918320551209
886,0.20959848048693505,0.36183533017814534,0.5699741362350206
889,0.5532025468589599,0.009287812333608052,0.2820467392566726
893,-0.16630436812406,0.4712310672737564,0.1671100229455057
904,0.23846122206218517,0.2978910967783611,0.2643011150999327
914,0.3367319850445842,0.13554164512405367,0.08563243095947601
926,0.33604477691184026,0.1363915889950422,0.12743856405499027
936,0.20753685608870295,0.36668413452859777,0.1931325421234944
939,0.264575131106459,0.24645874209479351,0.03823350980635057
941,0.235712389531209,0.3036613273373604,0.3877211007289991
943,0.061161523814220395,0.7922721264092619,0.048520150165912414
946,0.30512041093835796,0.17863996948094624,0.3516291872021694
952,0.35528660462867356,0.11399155389364857,-0.061648979530291706
965,0.48553429561919254,0.025663083978270242,0.28658353157096395
988,-0.1058300524425836,0.6479847524455414,-0.007913987694156206
994,0.28587858322152454,0.20902176290293412,0.09814091270142114
1004,0.27995988633195784,0.2190184840300836,0.21218754695279685
1009,0.5545769631244479,0.009078372875137027,0.39785973730785373
1018,0.24258447085864948,0.28936284955166824,0.027859151254532595
1033,0.27694487749585195,0.22423001927694616,0.20158093460564275
